,mean,std,raw_min,raw_max,type,bins,normalized
surface_area,2.569149318361133,2.313681719885992,0.2400627399047852,14.685217132695408,,,
volume,0.10279856979281413,0.14149086267297184,0.0011622334533607,0.6533384238890004,,,
compactness,69.46476401185626,133.06814623845284,1.5810204413614275,789.4391205633367,,,
rectangularity,0.13064955950034338,0.13976031922746612,0.0057322191166315,0.6624504372220885,,,
diameter,1.7397639294160974,0.16380752098696086,1.243462381883928,1.998953998151921,,,
convexity,0.290467283962608,0.22856685827066855,0.0229023763140497,0.982156170327452,,,
eccentricity,167.85468942022558,1127.7858918376085,1.9874604439791324,15208.023825349594,,,
A3,,,,,histogram,100,sum_to_one
D1,,,,,histogram,100,sum_to_one
D2,,,,,histogram,100,sum_to_one
D3,,,,,histogram,100,sum_to_one
D4,,,,,histogram,100,sum_to_one
